Joy,Trust,Fear,Surprise,Sad,Disgust,Anger,Anticipate,Max,Min
-9.537386757,1.999206747,2.500265459,-3.968351054,-5.399046159,2.996548739,1.050579687,-1.376836999,2.996548739,-9.537386757
-9.640352975,1.990866732,2.464933528,-3.977338859,-5.36417433,3.027664132,1.10209973,-1.392217617,3.027664132,-9.640352975
-9.664461784,1.992336234,2.463760827,-3.983304884,-5.36664304,3.035083953,1.109590716,-1.395762687,3.035083953,-9.664461784
-9.612226106,1.996460371,2.481463399,-3.978624748,-5.384001892,3.019294643,1.08359686,-1.387961717,3.019294643,-9.612226106
-9.601802266,1.995596882,2.481497154,-3.975787829,-5.382225671,3.016077604,1.080662779,-1.386432693,3.016077604,-9.601802266
-9.628245491,1.993561768,2.472644814,-3.978216453,-5.373601691,3.024072681,1.093751296,-1.390380908,3.024072681,-9.628245491
-9.632631972,1.99405704,2.472904268,-3.979559102,-5.374759003,3.02543163,1.094809771,-1.391022174,3.02543163,-9.632631972
-9.619273433,1.995059136,2.477322338,-3.978302878,-5.379034868,3.021391671,1.088232472,-1.389028049,3.021391671,-9.619273433
-9.617497187,1.99478022,2.477054699,-3.977670767,-5.378322738,3.020838306,1.087908548,-1.388769664,3.020838306,-9.617497187
-9.624231903,1.994287878,2.474854018,-3.978318611,-5.376207035,3.022875559,1.091207309,-1.389774792,3.022875559,-9.624231903
-9.624909798,1.994442705,2.475056533,-3.978614443,-5.376629143,3.023088648,1.091266299,-1.389872609,3.023088648,-9.624909798
-9.621521279,1.994684043,2.476150552,-3.978281287,-5.377673818,3.022063369,1.089615077,-1.389366991,3.022063369,-9.621521279
-9.621288106,1.994599096,2.476015144,-3.97814377,-5.377430154,3.02198883,1.089637126,-1.389333866,3.02198883,-9.621288106
-9.622989644,1.994481079,2.475472362,-3.978314641,-5.376915423,3.022503796,1.090462049,-1.389587709,3.022503796,-9.622989644
